file;num_names;num_glb_names;num_loc_names;nst_logmodel;nst_logmodel_all;nst_logmodel_glb;nst_logmodel_maybe
2251607.js;43;11;32;15;26;11;17
5313736.js;11;7;4;1;8;7;1
3463721.js;17;5;12;1;6;5;1
35985.js;3;2;1;1;3;2;1
2960270.js;20;3;17;1;4;3;1
1133849.js;54;12;42;0;12;12;0
86649.js;27;3;24;0;3;3;0
3651502.js;15;3;12;2;5;3;2
2229080.js;20;4;16;0;3;3;0
4109318.js;12;4;8;4;8;4;4
2056457.js;5;2;3;0;2;2;0
4261034.js;5;1;4;0;1;1;0
442893.js;13;2;11;0;2;2;0
1882408.js;15;4;11;1;5;4;1
1186497.js;8;5;3;0;5;5;0
2203333.js;11;4;7;1;5;4;1
4332841.js;25;2;23;0;2;2;0
1745816.js;13;2;11;0;2;2;0
1265982.js;23;11;12;0;11;11;0
476226.js;12;6;6;0;6;6;0
242239.js;8;1;7;0;1;1;0
2404211.js;21;10;11;2;12;10;2
227338.js;5;2;3;0;2;2;0
1212232.js;27;2;25;0;2;2;0
1200690.js;23;6;17;0;6;6;0
81862.js;15;6;9;1;7;6;2
2792864.js;34;3;31;2;5;3;3
312873.js;15;3;12;0;3;3;0
1375033.js;4;1;3;0;1;1;0
1910288.js;17;8;9;0;8;8;0
1222447.js;12;3;9;1;4;3;1
312293.js;3;1;2;0;1;1;0
3266377.js;8;6;2;0;6;6;0
2624961.js;25;1;24;3;4;1;3
1897740.js;24;13;11;0;12;12;0
2319560.js;4;3;1;0;3;3;0
12723.js;5;3;2;0;3;3;0
282528.js;4;1;3;2;3;1;2
4555038.js;2;1;1;0;1;1;0
5136727.js;45;20;25;2;22;20;2
2271159.js;11;2;9;0;2;2;0
3802027.js;7;1;6;0;1;1;0
4149008.js;19;14;5;3;17;14;3
664897.js;55;19;36;0;19;19;0
2629018.js;10;5;5;1;6;5;1
495163.js;33;10;23;10;20;10;11
558223.js;15;7;8;0;7;7;0
372326.js;18;4;14;0;4;4;1
5109360.js;6;3;3;1;4;3;1
1864241.js;8;3;5;0;3;3;0
2633501.js;17;12;5;0;11;11;0
2461797.js;18;3;15;0;3;3;0
4656992.js;34;22;12;0;22;22;0
2089326.js;11;9;2;1;10;9;1
279284.js;7;4;3;0;4;4;0
3089289.js;2;1;1;0;1;1;0
2852311.js;8;6;2;1;6;5;1
2937870.js;5;1;4;0;1;1;0
2462277.js;17;10;7;1;11;10;1
4558972.js;26;2;24;0;2;2;0
3175738.js;15;4;11;0;4;4;0
4961677.js;19;4;15;2;6;4;2
2032105.js;23;10;13;0;10;10;0
566714.js;18;5;13;1;6;5;1
1119974.js;12;10;2;0;10;10;0
1304974.js;14;2;12;0;2;2;0
5184334.js;9;3;6;0;3;3;0
2312486.js;8;2;6;1;3;2;1
306311.js;20;2;18;0;2;2;0
2140154.js;7;3;4;1;4;3;1
2147015.js;8;2;6;0;2;2;0
894308.js;21;17;4;0;16;16;0
3940310.js;4;1;3;0;1;1;0
1403291.js;20;7;13;3;10;7;3
8498.js;19;8;11;1;9;8;1
1083122.js;4;2;2;0;2;2;0
2624063.js;31;13;18;2;15;13;2
3358827.js;4;1;3;0;1;1;0
2836986.js;13;12;1;0;12;12;0
1306106.js;30;9;21;0;9;9;0
399795.js;16;15;1;0;15;15;0
1825307.js;23;4;19;3;7;4;4
3584529.js;3;1;2;1;2;1;1
950335.js;13;8;5;0;8;8;0
561466.js;19;14;5;0;14;14;0
1570905.js;10;6;4;0;6;6;0
240086.js;11;5;6;0;5;5;0
2932882.js;24;10;14;2;12;10;2
2194844.js;10;4;6;0;4;4;0
746325.js;10;1;9;0;1;1;0
2031813.js;16;6;10;0;6;6;0
4066110.js;25;1;24;3;4;1;3
2954062.js;20;3;17;1;4;3;1
1900335.js;22;14;8;2;16;14;2
1457534.js;12;1;11;1;2;1;1
204256.js;12;1;11;0;1;1;1
4528515.js;5;1;4;0;1;1;0
1769717.js;21;2;19;1;3;2;1
3244111.js;19;10;9;1;11;10;1
272640.js;13;5;8;3;8;5;3
3562773.js;10;6;4;0;6;6;0
2752317.js;15;12;3;0;12;12;0
2521969.js;6;5;1;0;4;4;0
1632180.js;8;3;5;0;3;3;0
389647.js;5;4;1;0;4;4;0
264434.js;10;5;5;2;7;5;2
5192834.js;5;3;2;0;3;3;0
3617686.js;3;2;1;0;2;2;0
3524452.js;17;6;11;1;7;6;1
1243866.js;6;3;3;0;3;3;0
2312026.js;6;3;3;0;3;3;0
889052.js;7;6;1;0;6;6;0
3370453.js;12;6;6;2;8;6;1
2046532.js;44;15;29;0;15;15;0
2404829.js;8;4;4;0;3;3;0
526830.js;11;10;1;0;10;10;0
4029786.js;24;5;19;3;8;5;3
2808803.js;19;5;14;3;8;5;3
784109.js;49;26;23;0;25;25;0
4757300.js;49;2;47;5;7;2;6
4662574.js;7;4;3;1;5;4;1
2272594.js;11;10;1;0;10;10;0
1261518.js;15;5;10;0;5;5;0
2021381.js;20;10;10;1;10;9;1
5056273.js;21;9;12;2;11;9;2
570869.js;4;2;2;1;3;2;1
1655454.js;3;1;2;1;2;1;1
3992279.js;4;1;3;0;1;1;0
576719.js;32;11;21;0;10;10;0
2929227.js;5;2;3;0;2;2;0
3109779.js;14;5;9;0;5;5;0
617648.js;12;4;8;0;4;4;0
2554988.js;14;2;12;3;5;2;3
4099383.js;23;7;16;2;9;7;2
2465311.js;21;1;20;1;2;1;2
1119070.js;30;1;29;2;3;1;2
1407613.js;23;5;18;1;6;5;2
624069.js;9;3;6;1;4;3;1
2607013.js;13;2;11;0;2;2;0
2638627.js;5;1;4;0;1;1;0
4172967.js;26;6;20;0;5;5;0
2782820.js;6;1;5;0;1;1;0
2124979.js;18;5;13;2;7;5;2
5052122.js;9;2;7;0;2;2;0
3405365.js;4;1;3;0;1;1;0
3896159.js;9;3;6;2;5;3;2
3735404.js;39;8;31;1;9;8;1
874799.js;11;2;9;1;3;2;1
4780702.js;10;9;1;0;9;9;0
1976849.js;3;1;2;1;2;1;1
1354709.js;30;2;28;2;3;1;2
82228.js;37;12;25;4;16;12;4
1812234.js;2;1;1;0;1;1;0
1430577.js;8;5;3;0;5;5;0
1400085.js;9;1;8;0;1;1;0
3667424.js;35;16;19;2;18;16;2
3911699.js;4;1;3;0;1;1;0
2350420.js;7;3;4;0;3;3;0
2863253.js;15;7;8;0;7;7;0
1570337.js;40;4;36;0;4;4;2
3938851.js;15;1;14;0;1;1;0
1624654.js;5;1;4;0;1;1;0
4950396.js;23;4;19;1;4;3;3
2895297.js;24;8;16;0;8;8;0
1682091.js;22;3;19;3;6;3;3
4152683.js;13;2;11;4;6;2;6
2181299.js;26;14;12;5;19;14;5
4834209.js;9;7;2;0;7;7;1
2658598.js;4;3;1;0;3;3;0
671138.js;3;2;1;0;2;2;0
1574546.js;21;9;12;1;10;9;1
730831.js;19;8;11;2;10;8;2
3683365.js;6;1;5;2;3;1;2
1832053.js;4;3;1;0;3;3;0
994359.js;9;1;8;1;2;1;1
1137.js;3;2;1;0;2;2;0
545186.js;10;3;7;0;3;3;0
3753773.js;6;1;5;0;1;1;0
3320895.js;14;8;6;0;8;8;0
4104682.js;4;2;2;0;2;2;0
1298288.js;4;3;1;0;3;3;0
301482.js;16;5;11;0;5;5;0
933671.js;6;2;4;0;2;2;0
377400.js;14;2;12;3;5;2;3
1117564.js;20;10;10;0;10;10;0
1134335.js;17;7;10;0;7;7;0
2195720.js;8;5;3;0;5;5;0
2606015.js;2;1;1;0;1;1;0
1057701.js;7;3;4;0;3;3;0
1576038.js;6;1;5;0;1;1;0
3806293.js;4;1;3;0;1;1;0
1209339.js;21;3;18;0;3;3;0
4998146.js;12;2;10;0;2;2;0
444498.js;25;5;20;1;6;5;2
2358921.js;10;1;9;0;1;1;0
1057089.js;5;1;4;0;1;1;0
2969157.js;6;4;2;0;4;4;0
4856494.js;5;2;3;0;2;2;0
4704224.js;16;6;10;1;7;6;1
3916916.js;61;16;45;0;15;15;0
1962687.js;37;7;30;0;7;7;0
48784.js;6;2;4;1;3;2;1
219876.js;8;1;7;1;2;1;0
3130911.js;14;12;2;0;12;12;0
4017740.js;16;8;8;0;8;8;1
430905.js;46;18;28;11;28;17;11
4408375.js;8;1;7;1;2;1;1
135590.js;7;4;3;0;4;4;0
5213426.js;42;8;34;0;6;6;0
2089126.js;8;6;2;1;7;6;1
1395654.js;17;9;8;0;9;9;0
563758.js;7;5;2;0;5;5;0
447938.js;13;4;9;0;4;4;0
4402252.js;5;2;3;0;2;2;0
2672634.js;18;1;17;4;5;1;4
1162393.js;8;2;6;0;2;2;0
4795287.js;7;5;2;0;5;5;0
184950.js;3;1;2;0;1;1;0
1754209.js;10;2;8;2;4;2;3
4089059.js;29;22;7;2;23;21;2
2068061.js;3;2;1;0;2;2;0
2098279.js;5;1;4;0;1;1;0
1065514.js;30;11;19;0;10;10;0
653245.js;23;6;17;0;6;6;0
477045.js;11;6;5;0;6;6;0
2128502.js;8;2;6;0;2;2;0
118710.js;20;2;18;1;3;2;1
89282.js;19;1;18;3;4;1;3
5257067.js;7;4;3;0;4;4;0
2641001.js;11;1;10;0;1;1;0
2357015.js;11;2;9;1;3;2;1
317029.js;9;6;3;0;6;6;0
2844643.js;9;3;6;0;3;3;0
787664.js;18;5;13;0;5;5;0
3254101.js;15;2;13;1;3;2;1
1998721.js;6;1;5;0;1;1;0
1912256.js;5;1;4;1;2;1;1
1817123.js;42;10;32;1;11;10;1
4935779.js;24;8;16;1;9;8;1
99160.js;24;14;10;0;14;14;0
2923375.js;13;6;7;0;6;6;0
1287838.js;5;1;4;0;1;1;0
1800897.js;7;5;2;0;5;5;0
117184.js;34;1;33;6;7;1;6
19332.js;8;3;5;0;3;3;0
586766.js;10;7;3;1;8;7;1
4621300.js;27;12;15;1;13;12;1
365156.js;16;10;6;0;10;10;0
1377762.js;6;4;2;1;5;4;1
1038932.js;5;3;2;0;3;3;0
790044.js;4;2;2;1;3;2;1
3209395.js;18;2;16;0;2;2;1
498892.js;11;6;5;0;6;6;0
409341.js;2;1;1;0;1;1;0
2462296.js;37;19;18;0;19;19;1
874085.js;10;7;3;2;9;7;2
3066626.js;24;2;22;1;3;2;1
128404.js;26;3;23;1;4;3;1
196709.js;4;1;3;0;1;1;0
480328.js;14;5;9;3;8;5;3
2460778.js;4;2;2;0;2;2;0
5101241.js;16;6;10;0;6;6;0
307150.js;10;2;8;1;3;2;1
1574021.js;15;4;11;0;4;4;0
4244331.js;5;2;3;1;3;2;1
2278690.js;8;2;6;2;4;2;3
437608.js;4;2;2;0;2;2;0
863158.js;12;3;9;1;4;3;2
3707614.js;41;2;39;2;4;2;2
3200700.js;12;2;10;2;4;2;2
147235.js;19;2;17;1;3;2;1
2652094.js;6;3;3;1;4;3;1
4621673.js;3;1;2;1;2;1;1
541260.js;8;5;3;0;5;5;0
777864.js;5;3;2;0;3;3;0
287794.js;11;10;1;1;11;10;1
447669.js;2;1;1;0;1;1;0
770875.js;12;6;6;0;6;6;0
2438394.js;19;3;16;1;4;3;1
22056.js;27;11;16;0;11;11;0
3340024.js;4;2;2;0;2;2;0
1239709.js;7;3;4;0;3;3;0
1745449.js;23;3;20;1;4;3;1
1403006.js;3;1;2;0;1;1;0
1823827.js;34;4;30;9;13;4;9
479564.js;10;8;2;1;9;8;1
602913.js;5;1;4;2;3;1;3
119573.js;14;1;13;0;1;1;0
3416149.js;54;8;46;2;10;8;2
3642136.js;30;4;26;3;7;4;3
1131880.js;10;3;7;0;3;3;0
291532.js;19;1;18;1;2;1;1
4085128.js;11;6;5;2;8;6;2
778952.js;4;2;2;0;2;2;0
553557.js;6;1;5;0;1;1;0
304496.js;4;1;3;0;1;1;0
1824203.js;12;6;6;0;6;6;0
995088.js;13;4;9;0;4;4;0
1101086.js;8;6;2;0;6;6;0
3312430.js;14;5;9;2;7;5;2
991038.js;43;4;39;1;5;4;1
3036880.js;23;10;13;1;11;10;2
2536389.js;27;7;20;0;7;7;0
3018940.js;11;5;6;1;6;5;1
873041.js;11;3;8;0;2;2;0
3077148.js;17;2;15;3;5;2;3
1085226.js;29;7;22;1;7;6;1
2740071.js;19;14;5;1;14;13;1
1364599.js;17;9;8;0;9;9;0
1353821.js;7;2;5;0;2;2;0
5283437.js;12;4;8;0;4;4;0
3894545.js;15;12;3;0;11;11;0
2611672.js;30;7;23;11;18;7;11
93659.js;17;1;16;2;3;1;2
3713962.js;14;10;4;0;9;9;0
5255614.js;12;4;8;3;7;4;3
3938358.js;6;1;5;0;1;1;0
1966138.js;17;1;16;1;2;1;1
2482808.js;2;1;1;0;1;1;0
4066754.js;5;1;4;0;1;1;0
2110440.js;13;2;11;1;3;2;1
4205315.js;14;3;11;0;3;3;0
263004.js;5;3;2;1;4;3;1
2893982.js;7;2;5;0;2;2;0
2126910.js;27;1;26;1;2;1;2
5287933.js;19;8;11;0;8;8;0
4162197.js;8;3;5;0;3;3;0
1766140.js;16;3;13;2;5;3;2
1796618.js;19;1;18;0;1;1;0
1244374.js;27;8;19;0;8;8;0
186791.js;20;8;12;3;9;6;3
4147075.js;3;1;2;1;2;1;1
282873.js;5;2;3;0;2;2;0
378298.js;10;4;6;1;5;4;1
105116.js;18;2;16;1;3;2;1
2840542.js;11;4;7;0;4;4;0
533991.js;5;3;2;0;3;3;0
4721743.js;27;1;26;1;2;1;1
1802937.js;11;2;9;0;2;2;0
650508.js;13;2;11;0;2;2;0
3297741.js;10;4;6;0;4;4;0
4574522.js;13;2;11;1;3;2;1
880765.js;18;3;15;5;7;2;5
1283695.js;55;16;39;0;15;15;0
221328.js;35;3;32;0;3;3;0
443750.js;10;5;5;0;5;5;0
1979592.js;9;3;6;0;3;3;0
3006386.js;8;1;7;0;1;1;0
3409.js;10;5;5;0;5;5;0
326536.js;24;5;19;1;6;5;1
226369.js;7;5;2;1;6;5;1
682500.js;27;3;24;2;5;3;3
918405.js;22;4;18;0;4;4;2
1996492.js;6;2;4;1;3;2;1
3902316.js;10;3;7;0;3;3;0
5159070.js;39;5;34;0;5;5;0
3618432.js;25;8;17;2;10;8;2
1364530.js;10;2;8;0;2;2;0
4277495.js;20;4;16;0;4;4;0
1070167.js;6;3;3;1;4;3;1
3581864.js;33;2;31;0;2;2;0
3271818.js;15;10;5;0;10;10;0
703169.js;10;3;7;0;3;3;0
712532.js;11;5;6;2;6;4;2
3242023.js;5;1;4;0;1;1;0
3313269.js;18;5;13;0;5;5;0
2958311.js;16;3;13;1;4;3;2
4967212.js;35;12;23;4;16;12;4
377704.js;26;2;24;1;3;2;0
135172.js;14;7;7;0;7;7;0
1151316.js;34;7;27;1;8;7;1
2819335.js;12;3;9;0;3;3;0
5136145.js;20;3;17;0;2;2;0
2996196.js;16;9;7;1;10;9;1
4621671.js;3;1;2;1;2;1;1
973785.js;6;5;1;0;5;5;0
137692.js;36;13;23;3;16;13;3
2083390.js;20;4;16;1;4;3;1
107956.js;17;7;10;0;7;7;0
1244451.js;12;6;6;2;8;6;2
1454631.js;16;2;14;1;3;2;1
803606.js;11;7;4;0;7;7;0
3815704.js;7;3;4;0;3;3;0
1952804.js;11;2;9;6;8;2;6
4113441.js;6;4;2;0;4;4;0
64178.js;19;12;7;1;13;12;0
2534382.js;7;4;3;0;4;4;0
1120182.js;26;3;23;0;2;2;0
1136232.js;7;6;1;0;6;6;0
623873.js;17;2;15;3;5;2;4
1843945.js;46;4;42;6;10;4;6
491384.js;10;7;3;2;9;7;2
5140917.js;5;3;2;0;3;3;0
692355.js;16;6;10;4;10;6;4
1762460.js;20;9;11;1;9;8;1
1991504.js;6;3;3;2;5;3;2
1664504.js;5;1;4;0;1;1;0
1832057.js;7;3;4;1;4;3;1
4884310.js;14;2;12;2;4;2;2
117578.js;3;1;2;0;1;1;0
4624277.js;34;10;24;0;10;10;0
1454491.js;25;3;22;2;5;3;2
2943075.js;27;1;26;0;1;1;0
1677267.js;28;8;20;4;12;8;4
1569543.js;20;11;9;1;12;11;2
1398514.js;21;2;19;3;5;2;3
3417721.js;10;2;8;0;1;1;0
2587061.js;20;3;17;1;4;3;1
5305786.js;5;3;2;0;3;3;0
1952826.js;15;4;11;3;7;4;3
4643390.js;24;2;22;0;2;2;0
2900544.js;8;1;7;0;1;1;0
860183.js;6;3;3;0;3;3;0
3424131.js;5;2;3;1;3;2;1
665315.js;28;3;25;1;4;3;1
1025599.js;18;3;15;1;4;3;1
4418852.js;25;2;23;1;3;2;1
1448761.js;16;3;13;0;3;3;0
727979.js;14;6;8;0;6;6;0
1403155.js;4;3;1;0;3;3;0
4212374.js;11;7;4;2;9;7;2
2457903.js;34;11;23;1;12;11;1
4662282.js;15;7;8;1;8;7;1
3731566.js;18;2;16;4;6;2;5
3163010.js;11;6;5;1;5;4;1
1203489.js;17;1;16;4;5;1;4
3584766.js;3;1;2;1;2;1;1
5010718.js;30;13;17;2;14;12;2
3927831.js;5;4;1;0;4;4;0
88876.js;28;4;24;4;8;4;5
2039230.js;21;7;14;0;7;7;0
3292332.js;6;3;3;0;3;3;0
992585.js;42;21;21;1;19;18;1
1398600.js;22;6;16;1;7;6;1
1663630.js;25;10;15;0;9;9;0
1417041.js;17;4;13;0;4;4;2
4637070.js;16;5;11;5;10;5;5
294231.js;8;4;4;1;4;3;1
2149104.js;6;3;3;0;3;3;0
1836409.js;7;4;3;0;4;4;0
3675017.js;24;12;12;1;13;12;1
2923830.js;13;8;5;0;8;8;0
889021.js;22;14;8;3;17;14;3
2404297.js;19;10;9;0;10;10;0
90741.js;7;4;3;0;4;4;0
850173.js;14;1;13;0;1;1;0
4197567.js;8;4;4;0;4;4;0
5332276.js;12;7;5;0;7;7;0
3440240.js;13;5;8;0;5;5;0
32782.js;6;4;2;0;4;4;0
3226495.js;7;6;1;0;6;6;0
756491.js;19;5;14;3;8;5;3
3732567.js;4;1;3;0;1;1;0
2480810.js;4;1;3;0;1;1;0
1951339.js;8;3;5;0;2;2;0
3777949.js;3;1;2;0;1;1;0
3688479.js;21;3;18;3;6;3;3
5105529.js;12;6;6;0;6;6;0
108215.js;13;8;5;1;9;8;1
693506.js;18;7;11;0;6;6;0
4964397.js;15;13;2;0;13;13;0
1433269.js;26;5;21;1;6;5;1
136048.js;4;2;2;0;2;2;0
1754668.js;4;3;1;0;3;3;0
712500.js;29;13;16;1;13;12;1
4992733.js;13;2;11;1;3;2;1
1819743.js;21;9;12;1;10;9;1
2923736.js;3;1;2;0;1;1;0
2062672.js;4;2;2;0;2;2;0
2434082.js;9;4;5;0;4;4;0
3878277.js;16;15;1;0;15;15;0
4229390.js;20;5;15;1;6;5;3
4872971.js;15;3;12;2;4;2;3
1688953.js;7;1;6;3;4;1;3
314987.js;12;2;10;0;2;2;0
1364198.js;8;1;7;0;1;1;0
694484.js;11;3;8;0;3;3;0
1658258.js;5;3;2;0;3;3;0
502549.js;5;3;2;0;3;3;0
4109272.js;41;2;39;4;6;2;4
4372945.js;25;2;23;2;4;2;2
4009080.js;3;2;1;0;2;2;0
1752223.js;27;2;25;0;2;2;0
131370.js;15;8;7;0;8;8;0
82034.js;10;4;6;1;5;4;1
2688863.js;11;1;10;1;2;1;1
2498807.js;2;1;1;0;1;1;0
5332933.js;4;2;2;0;2;2;0
2966781.js;6;2;4;0;2;2;0
1031471.js;40;2;38;6;8;2;0
5137056.js;15;7;8;6;13;7;6
1398775.js;8;3;5;1;4;3;1
2341840.js;22;9;13;3;12;9;3
4920038.js;12;3;9;1;4;3;1
3377195.js;13;5;8;0;5;5;0
4254729.js;23;4;19;1;5;4;1
908822.js;4;2;2;0;2;2;0
1125237.js;20;8;12;0;8;8;0
656291.js;25;7;18;1;8;7;1
524041.js;17;7;10;2;9;7;2
3696777.js;14;5;9;0;5;5;0
1085091.js;11;7;4;0;7;7;0
2104585.js;8;2;6;0;2;2;0
38242.js;8;3;5;1;4;3;1
862785.js;28;2;26;3;5;2;3
1269410.js;15;2;13;1;3;2;2
32993.js;3;1;2;0;1;1;0
1754067.js;7;2;5;0;2;2;0
2277574.js;16;3;13;5;8;3;5
920273.js;10;1;9;0;1;1;0
196411.js;21;16;5;1;17;16;1
2089333.js;12;10;2;0;9;9;0
4006811.js;19;5;14;1;6;5;1
2222864.js;24;15;9;0;15;15;0
1467757.js;11;4;7;3;7;4;3
3191576.js;11;4;7;0;4;4;0
2451355.js;21;5;16;2;7;5;2
4537036.js;20;7;13;1;8;7;1
1655533.js;3;1;2;2;3;1;2
514630.js;9;1;8;2;3;1;2
813327.js;13;2;11;0;2;2;0
902142.js;6;1;5;0;1;1;0
2964430.js;9;3;6;0;3;3;0
1287510.js;8;5;3;0;5;5;0
832634.js;16;2;14;1;3;2;1
879410.js;19;11;8;0;11;11;0
623425.js;10;4;6;0;4;4;0
3610424.js;6;3;3;0;3;3;0
3436419.js;6;2;4;0;2;2;0
3914603.js;38;13;25;0;13;13;0
1430616.js;7;4;3;0;4;4;0
1978582.js;15;2;13;3;5;2;3
4793653.js;15;3;12;2;5;3;1
2146915.js;17;4;13;1;5;4;1
2889624.js;6;4;2;0;4;4;0
184061.js;22;1;21;0;1;1;0
2459310.js;37;5;32;0;5;5;0
2326911.js;6;4;2;0;4;4;0
4523348.js;7;1;6;0;1;1;0
1287177.js;26;3;23;0;3;3;0
3467505.js;39;17;22;1;18;17;1
888972.js;12;9;3;0;9;9;0
2268732.js;4;1;3;1;2;1;1
706507.js;3;2;1;0;2;2;0
1172568.js;21;8;13;3;11;8;3
4576078.js;27;6;21;3;9;6;4
3596865.js;44;21;23;4;24;20;5
1209433.js;3;2;1;0;2;2;0
4106931.js;21;5;16;0;5;5;2
2916700.js;13;2;11;0;2;2;0
1692921.js;6;4;2;0;3;3;0
3517772.js;20;8;12;2;10;8;2
741651.js;18;3;15;1;4;3;1
5181761.js;5;3;2;1;4;3;1
2907483.js;28;5;23;0;5;5;0
2298766.js;12;5;7;1;6;5;1
587103.js;12;1;11;1;2;1;1
4891970.js;41;17;24;4;21;17;4
746014.js;9;1;8;1;2;1;1
1472011.js;25;1;24;3;4;1;3
499220.js;14;5;9;0;5;5;0
2242302.js;14;8;6;0;8;8;0
2788414.js;4;3;1;1;4;3;1
146131.js;2;1;1;0;1;1;0
3747054.js;42;2;40;0;2;2;0
482276.js;21;10;11;3;13;10;4
2928556.js;5;1;4;0;1;1;0
3883189.js;12;4;8;0;4;4;0
3605261.js;3;2;1;0;2;2;0
4166720.js;28;4;24;1;5;4;1
3567693.js;11;4;7;0;3;3;0
508230.js;6;5;1;0;5;5;0
1255202.js;6;3;3;1;4;3;1
2206536.js;26;7;19;1;8;7;1
4086307.js;9;4;5;0;4;4;0
671170.js;3;2;1;0;2;2;0
850915.js;31;5;26;1;6;5;1
2906723.js;5;3;2;1;4;3;1
45447.js;22;3;19;0;3;3;0
504214.js;12;4;8;0;4;4;0
554039.js;11;7;4;1;8;7;1
3651459.js;19;7;12;1;8;7;1
116531.js;9;4;5;0;4;4;0
1060776.js;3;1;2;0;1;1;0
2522102.js;37;16;21;5;20;15;5
2130167.js;16;11;5;3;14;11;3
754926.js;11;4;7;0;4;4;0
3836344.js;4;3;1;0;3;3;0
829612.js;25;2;23;2;4;2;3
627267.js;17;13;4;3;16;13;3
4201240.js;10;9;1;0;9;9;0
2440431.js;11;1;10;2;3;1;2
4146243.js;3;1;2;0;1;1;0
2997441.js;27;5;22;0;4;4;0
1372075.js;4;2;2;0;2;2;0
189980.js;6;1;5;1;2;1;1
3389050.js;17;3;14;0;3;3;0
2278351.js;17;3;14;2;5;3;2
12275.js;31;9;22;0;9;9;0
4061007.js;7;1;6;0;1;1;0
123938.js;12;4;8;2;6;4;2
3586496.js;8;5;3;0;5;5;0
671161.js;3;2;1;0;2;2;0
2498590.js;9;3;6;0;3;3;0
4185129.js;14;11;3;0;11;11;0
1569108.js;9;6;3;0;6;6;0
1106502.js;11;9;2;1;10;9;1
305161.js;19;3;16;2;5;3;2
677049.js;4;2;2;1;3;2;2
2410950.js;34;6;28;1;7;6;1
419355.js;14;4;10;0;4;4;0
3242115.js;5;1;4;1;2;1;2
227387.js;2;1;1;0;1;1;0
372790.js;22;3;19;1;4;3;1
822292.js;12;2;10;1;3;2;1
207716.js;21;8;13;1;8;7;1
2860513.js;10;4;6;0;4;4;0
3269534.js;21;14;7;2;14;12;2
4129611.js;23;7;16;0;7;7;0
836488.js;12;6;6;0;5;5;1
1766268.js;38;10;28;1;11;10;1
807631.js;18;6;12;8;14;6;8
485443.js;5;2;3;1;3;2;1
3084967.js;4;2;2;0;2;2;0
2343106.js;13;5;8;2;7;5;2
3960408.js;37;5;32;0;5;5;0
4418.js;9;1;8;0;1;1;0
1240442.js;6;4;2;0;4;4;0
